source_id,source_lon,source_lat,fmean,unc,N,M,f,attribution
1,-89.773347,29.374246,125.8377178,29.82225852,1,1,1,satellite well
2,-89.452683,29.574596,2730.752957,1014.514583,1,1,1,other
3,-89.38815933,29.13277757,943.8601321,520.3964317,3,3,1,other
4,-89.32240311,29.1269184,71.93361008,55.62609887,3,5,0.6,tank
5,-89.28648602,29.08860809,1864.777942,819.1598093,1,1,1,other
6,-89.51174057,29.57073233,1536.645549,519.7644894,6,6,1,cold vent
7,-90.869619,29.07734,NA,NA,1,6,0.166666667,tank
8,-92.5564545,29.756235,1989.333253,847.2546279,2,3,0.666666667,tank
9,-90.35301933,28.92893635,1820.276916,592.5463989,3,3,1,other
10,-89.098749,29.28482,15.38148845,11.77408849,1,3,0.333333333,other
11,-90.50263965,29.11843401,217.0634212,70.73553019,3,5,0.6,other
12,-89.086625,29.24827,821.238994,396.9519732,1,2,0.5,tank
13,-89.087781,29.251247,213.5568781,134.5172597,1,2,0.5,pipeline
14,-89.40305433,29.45255533,773.7501577,275.422255,3,3,1,satellite well
15,-89.51368429,29.41951708,349.9366708,344.637011,1,2,0.5,cold vent
16,-89.769926,29.36307433,1497.723254,426.215842,1,1,1,cold vent
17,-89.797506,28.972737,67.02238143,64.11300062,1,3,0.333333333,pipeline
18,-89.978495,29.1010755,524.8035198,259.3437785,1,5,0.2,other
19,-90.667497,29.186781,271.5938706,346.9537485,1,3,0.333333333,other
20,-90.627659,29.100662,228.1629051,341.6404416,1,2,0.5,other
21,-90.161532,28.9853322,423.5802853,422.3872869,1,3,0.333333333,other
22,-91.44862749,29.05145941,49.39717977,48.22947967,1,3,0.333333333,satellite well
23,-91.446206,29.061663,392.6677527,257.8806296,2,3,0.666666667,other
24,-92.062079,29.4416335,2363.449955,825.6021257,2,2,1,other
25,-89.054422,29.251845,589.4762605,906.3049248,1,2,0.5,other
26,-90.352877,28.9287755,293.405712,338.3186235,2,4,0.5,other
27,-90.96039675,28.95488498,1070.665687,401.0719849,4,4,1,other
28,-88.934693,29.354547,480.87744,153.5172465,1,1,1,cold vent
29,-89.338222,29.563979,207.0619154,87.38267949,1,2,0.5,other
30,-89.48638455,29.53082139,446.7831163,676.6752952,2,4,0.5,tank
31,-91.87141877,29.33259339,2002.408584,702.7043838,4,4,1,other
32,-89.045133,29.253456,127.0975285,100.1724872,1,2,0.5,other
33,-89.0502055,29.247336,380.0437625,176.8425341,2,2,1,cold vent
34,-89.06073467,29.24989967,815.8144703,1005.937367,1,2,0.5,satellite well
35,-90.518024,29.12086,115.0936193,118.5217697,1,2,0.5,other
36,-89.045025,29.2534115,611.8114285,394.5564895,2,2,1,other
37,-89.5435535,29.5860885,14.05281688,19.47821368,2,4,0.5,satellite well
38,-90.50847775,29.20611375,1513.844014,750.6891775,2,2,1,other
39,-89.07645725,29.24096775,2131.747608,972.1891204,2,2,1,other
40,-89.075476,29.23813,323.5974643,64.31173009,1,1,1,satellite well
41,-90.51321033,29.09175233,345.366851,210.4567619,3,4,0.75,cold vent
42,-90.47997116,29.22245326,812.2271098,243.0320073,2,2,1,cold vent
43,-90.84312167,29.02649467,145.1660665,74.67759049,3,5,0.6,other
44,-89.54204958,29.59042444,15.01572234,23.02154344,2,4,0.5,satellite well
45,-90.4590774,29.10653397,415.2401396,168.1853806,1,1,1,other
46,-89.71738326,28.94238901,518.7898084,216.7255522,1,1,1,other
47,-89.053509,29.251343,390.7597231,241.9523867,2,2,1,satellite well
48,-90.4832902,29.11368846,1115.420533,371.984228,5,5,1,tank
49,-90.49134267,28.8674999,645.3105824,318.7617627,3,4,0.75,other
50,-89.9592375,28.99892323,480.7268212,678.0933601,2,6,0.333333333,other
51,-90.162671,29.047334,1207.908016,2640.250787,1,3,0.333333333,other
52,-90.03126324,28.94621653,550.4599991,296.8898842,3,3,1,other
53,-89.70716936,28.94722308,930.3322289,851.6227532,3,7,0.428571429,other
54,-91.919608,29.4543501,387.0508801,329.4988538,2,4,0.5,cold vent
55,-91.75303176,29.37899347,669.5303929,313.6786465,3,3,1,other
56,-91.617312,29.19015469,353.881876,171.9318193,4,4,1,other
57,-89.502362,29.420129,564.9330245,436.2988713,1,2,0.5,other
58,-90.672436,29.190793,466.8886283,424.0681879,1,3,0.333333333,pipeline
59,-89.26647887,28.98929466,787.8322607,243.4396658,2,2,1,other
60,-89.98121756,29.09829586,85.6325834,27.82308734,2,3,0.666666667,other
61,-89.082622,29.2643275,699.5174728,336.4225907,2,2,1,satellite well
62,-89.086066,29.253331,41.92501493,33.22924384,1,2,0.5,pipeline
63,-88.02421704,30.26113384,297.5221068,158.8878416,1,1,1,other
64,-88.4971928,30.08478155,177.2060371,134.34336,1,1,1,other